Rk	Name	Age	Tm	G	PA	Rbat	Rbaser	Rdp	Rfield	Rpos	RAA	WAA	Rrep	RAR	WAR	waaWL%	162WL%	oWAR	dWAR	oRAR	Name-additional	no_accent_names	clean_end	no_period	clean_name
85	JonahÿBride	27	OAK	40	106	-6	-1	0	0	0	-8	-0.8	4	-4	-0.4	0.48	0.495	-0.4	0	-4	bridejo01	JonahÿBride	JonahÿBride	JonahÿBride	jonahbride
86	MikeÿBrosseau	29	MIL	29	78	-3	0	0	-3	0	-6	-0.6	3	-4	-0.4	0.479	0.496	-0.1	-0.3	-1	brossmi01	MikeÿBrosseau	MikeÿBrosseau	MikeÿBrosseau	mikebrosseau
87	SethÿBrown*	30	OAK	112	378	-2	-2	-1	3	-5	-8	-0.8	13	5	0.5	0.493	0.495	0.2	-0.2	2	brownse01	SethÿBrown*	SethÿBrown	SethÿBrown	sethbrown
88	VidalÿBruj n#	25	TBR	37	84	-7	0	0	-1	1	-7	-0.7	3	-4	-0.4	0.481	0.496	-0.3	0	-3	brujavi01	VidalÿBrujan#	VidalÿBrujan	VidalÿBrujan	vidalbrujan
89	KrisÿBryant	31	COL	80	335	-7	-1	-1	-8	-4	-21	-2.1	11	-10	-1	0.474	0.487	-0.2	-1.2	-1	bryankr01	KrisÿBryant	KrisÿBryant	KrisÿBryant	krisbryant
90	JBÿBukauskas	26	SEA	1	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	bukaujb01	JBÿBukauskas	JBÿBukauskas	JBÿBukauskas	jbbukauskas
91	AaronÿBummer*	29	CHW	1	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	bummeaa01	AaronÿBummer*	AaronÿBummer	AaronÿBummer	aaronbummer
92	PeytonÿBurdick	26	MIA	14	37	-2	0	0	0	0	-1	-0.1	1	0	0	0.49	0.499	0	0	0	burdipe01	PeytonÿBurdick	PeytonÿBurdick	PeytonÿBurdick	peytonburdick
93	JakeÿBurger	27	2TM	141	540	14	-2	2	-6	0	7	0.7	18	26	2.5	0.505	0.502	3.1	-0.6	32	burgeja01	JakeÿBurger	JakeÿBurger	JakeÿBurger	jakeburger
94	AlecÿBurleson*	24	STL	107	347	-7	0	-1	-4	-5	-17	-1.7	12	-5	-0.6	0.484	0.489	-0.2	-0.9	-1	burleal01	AlecÿBurleson*	AlecÿBurleson	AlecÿBurleson	alecburleson
95	MichaelÿBusch*	25	LAD	27	81	-6	0	0	-1	-1	-7	-0.7	3	-4	-0.5	0.473	0.496	-0.4	-0.2	-3	buschmi02	MichaelÿBusch*	MichaelÿBusch	MichaelÿBusch	michaelbusch
96	LawrenceÿButler*	22	OAK	42	129	-5	0	-1	-3	1	-9	-0.9	4	-5	-0.5	0.478	0.494	-0.2	-0.2	-1	butlela01	LawrenceÿButler*	LawrenceÿButler	LawrenceÿButler	lawrencebutler
97	ByronÿBuxton	29	MIN	85	347	-2	3	1	0	-7	-4	-0.4	12	8	0.8	0.495	0.497	0.7	-0.7	8	buxtoby01	ByronÿBuxton	ByronÿBuxton	ByronÿBuxton	byronbuxton
98	Jos‚ÿCaballero	26	SEA	104	280	-1	1	1	10	3	14	1.5	10	24	2.4	0.514	0.509	1.4	1.3	14	cabaljo01	JoseÿCaballero	JoseÿCaballero	JoseÿCaballero	josecaballero
99	TreyÿCabbage*	26	LAA	22	56	-4	0	0	0	-1	-5	-0.5	2	-3	-0.3	0.476	0.497	-0.3	-0.1	-3	cabbatr01	TreyÿCabbage*	TreyÿCabbage	TreyÿCabbage	treycabbage
100	G‚nesisÿCabrera*	26	STL	2	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	cabrege01	GenesisÿCabrera*	GenesisÿCabrera	GenesisÿCabrera	genesiscabrera
101	MiguelÿCabrera	40	DET	98	370	-4	-1	-2	0	-8	-16	-1.6	13	-3	-0.4	0.483	0.49	-0.4	-0.9	-3	cabremi01	MiguelÿCabrera	MiguelÿCabrera	MiguelÿCabrera	miguelcabrera
102	OswaldoÿCabrera#	24	NYY	115	330	-19	2	0	-4	-3	-25	-2.5	11	-14	-1.5	0.478	0.484	-1.1	-0.7	-10	cabreos01	OswaldoÿCabrera#	OswaldoÿCabrera	OswaldoÿCabrera	oswaldocabrera
103	KoleÿCalhoun*	35	CLE	43	174	-3	0	0	1	-3	-5	-0.5	6	1	0.1	0.488	0.497	0	-0.1	0	calhoko01	KoleÿCalhoun*	KoleÿCalhoun	KoleÿCalhoun	kolecalhoun
104	WillieÿCalhoun*	28	NYY	44	149	-2	0	0	-2	-3	-7	-0.7	5	-2	-0.2	0.485	0.496	0	-0.5	0	calhowi01	WillieÿCalhoun*	WillieÿCalhoun	WillieÿCalhoun	williecalhoun
105	AlexÿCall	28	WSN	128	439	-12	-2	2	7	1	-3	-0.4	15	12	1.1	0.497	0.498	0.4	0.8	5	callal02	AlexÿCall	AlexÿCall	AlexÿCall	alexcall
106	JohanÿCamargo#	29	SFG	8	20	-1	0	0	-2	0	-3	-0.3	1	-2	-0.2	0.463	0.498	0	-0.2	0	camarjo01	JohanÿCamargo#	JohanÿCamargo	JohanÿCamargo	johancamargo
107	JuniorÿCaminero	19	TBR	7	36	-1	0	0	1	0	0	-0.1	1	1	0	0.493	0.5	-0.1	0.1	0	caminju01	JuniorÿCaminero	JuniorÿCaminero	JuniorÿCaminero	juniorcaminero
108	LuisÿCampusano	24	SDP	49	174	8	-1	-2	-2	3	6	0.6	6	12	1.1	0.512	0.504	1.3	0.1	14	campulu01	LuisÿCampusano	LuisÿCampusano	LuisÿCampusano	luiscampusano
109	AlexanderÿCanario	23	CHC	6	17	1	-1	0	-1	0	-1	-0.1	1	-1	-0.1	0.481	0.499	0	-0.1	0	canaral01	AlexanderÿCanario	AlexanderÿCanario	AlexanderÿCanario	alexandercanario
110	JeimerÿCandelario#	29	2TM	140	576	14	0	-1	-4	1	10	1	20	30	2.9	0.507	0.506	3.3	-0.3	34	candeje01	JeimerÿCandelario#	JeimerÿCandelario	JeimerÿCandelario	jeimercandelario
111	MarkÿCanha	34	2TM	139	507	6	2	1	3	-7	5	0.5	17	23	2.2	0.504	0.502	1.9	-0.5	20	canhama01	MarkÿCanha	MarkÿCanha	MarkÿCanha	markcanha
112	YennierÿCano	29	BAL	3	0	0	0	0	0	0	0	0	0	0	0	0.5	0.5	0	0	0	canoye01	YennierÿCano	YennierÿCano	YennierÿCano	yenniercano
