Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names ,clean_end,no_period,clean_name 
901,JacobÿNottingham,24,MIL,9,7,1,0,0,-1,0,0,0,0,0,0,0.5,0.5,0.1,-0.1,1,nottija01,JacobÿNottingham,JacobÿNottingham,JacobÿNottingham,jacobnottingham
902,Iv nÿNova,32,CHW,3,5,-1,0,0,0,1,-1,-0.1,0,-1,-0.1,0.479,0.5,-0.1,0,-1,novaiv01,IvanÿNova,IvanÿNova,IvanÿNova,ivannova
903,DomÿNu¤ez*,24,COL,16,43,-3,0,0,0,1,-3,-0.3,1,-1,-0.1,0.484,0.498,-0.1,0.1,-1,nunezdo01,DomÿNunez*,DomÿNunez,DomÿNunez,domnunez
904,EduardoÿN£¤ez,32,BOS,60,174,-14,1,0,-8,0,-21,-2,6,-15,-1.4,0.466,0.487,-0.7,-0.7,-7,nunezed02,EduardoÿNunez,EduardoÿNunez,EduardoÿNunez,eduardonunez
905,RenatoÿN£¤ez,25,BAL,151,599,-2,1,0,-7,-11,-20,-1.7,21,2,0.4,0.487,0.488,0.9,-1.6,9,nunezre01,RenatoÿNunez,RenatoÿNunez,RenatoÿNunez,renatonunez
906,PeterÿO'Brien,28,MIA,14,47,-4,0,0,-4,-1,-8,-0.9,2,-7,-0.7,0.44,0.495,-0.3,-0.5,-3,obriepe01,PeterÿO'Brien,PeterÿO'Brien,PeterÿO'Brien,petero'brien
907,DarrenÿO'Day,36,ATL,6,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,odayda01,DarrenÿO'Day,DarrenÿO'Day,DarrenÿO'Day,darreno'day
908,BrianÿO'Grady*,27,CIN,28,48,-1,0,0,1,0,0,0,2,2,0.1,0.5,0.5,0.1,0.1,1,ogradbr01,BrianÿO'Grady*,BrianÿO'Grady,BrianÿO'Grady,briano'grady
909,RyanÿO'Hearn*,25,KCR,105,370,-18,-2,0,-4,-5,-29,-2.8,13,-16,-1.5,0.472,0.482,-1.2,-0.8,-12,ohearry01,RyanÿO'Hearn*,RyanÿO'Hearn,RyanÿO'Hearn,ryano'hearn
910,TylerÿO'Neill,24,STL,60,151,0,0,0,0,-1,-1,-0.2,5,4,0.3,0.498,0.499,0.3,-0.2,4,oneilty01,TylerÿO'Neill,TylerÿO'Neill,TylerÿO'Neill,tylero'neill
