Rk,Name,Age,Tm,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,waaWL%,162WL%,oWAR,dWAR,oRAR,Name-additional,no_accent_names,clean_end,no_period,clean_name
1182,ReiverÿSanmartin*,26,CIN,1,2,-1,0,0,0,0,0,0,0,0,0.48,0.5,0,0,0,sanmare01,ReiverÿSanmartin*,ReiverÿSanmartin,ReiverÿSanmartin,reiversanmartin
1183,MiguelÿSan¢,29,MIN,20,71,-8,-1,0,0,-1,-9,-1,2,-7,0.448,0.494,-0.8,-0.1,-7,sanomi01,MiguelÿSano,MiguelÿSano,MiguelÿSano,miguelsano
1184,CarlosÿSantana#,36,2TM,131,506,-1,1,-1,3,-8,-5,-0.6,17,12,0.496,0.498,0.8,-0.6,9,santaca01,CarlosÿSantana#,CarlosÿSantana,CarlosÿSantana,carlossantana
1186,AnthonyÿSantander#,27,BAL,152,647,15,0,-1,-5,-7,2,0.2,22,24,0.501,0.501,2.9,-1.3,29,santaan02,AnthonyÿSantander#,AnthonyÿSantander,AnthonyÿSantander,anthonysantander
1193,ClarkeÿSchmidt,26,NYY,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,schmicl01,ClarkeÿSchmidt,ClarkeÿSchmidt,ClarkeÿSchmidt,clarkeschmidt
1194,JonathanÿSchoop,30,DET,131,510,-26,0,-2,8,4,-16,-1.8,17,2,0.487,0.489,-0.9,1.3,-6,schoojo01,JonathanÿSchoop,JonathanÿSchoop,JonathanÿSchoop,jonathanschoop
1196,MaxÿSchrock*,27,CIN,13,27,-4,0,0,1,0,-3,-0.3,1,-2,0.476,0.498,-0.3,0.1,-3,schroma01,MaxÿSchrock*,MaxÿSchrock,MaxÿSchrock,maxschrock
1197,KyleÿSchwarber*,29,PHI,155,669,22,-2,0,-14,-6,1,0.2,22,23,0.5,0.5,3.7,-2,37,schwaky01,KyleÿSchwarber*,KyleÿSchwarber,KyleÿSchwarber,kyleschwarber
1198,FrankÿSchwindel,30,CHC,75,292,-10,-1,-2,-2,-5,-19,-2,10,-9,0.473,0.488,-0.9,-0.7,-7,schwifr01,FrankÿSchwindel,FrankÿSchwindel,FrankÿSchwindel,frankschwindel
1199,TannerÿScott,27,MIA,3,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,scottta01,TannerÿScott,TannerÿScott,TannerÿScott,tannerscott
